default,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,BILL_AMT1,BILL_AMT2,PAY_AMT1,PAY_AMT2
1,310000,2,2,1,35,2,0,304991,311243,13019,11128
0,20000,1,1,2,27,0,0,19115,18962,1404,1130
0,20000,1,2,2,23,1,-2,0,0,0,0
0,200000,1,3,2,52,0,0,110151,99530,3568,3585
1,180000,1,1,1,36,0,0,163736,116422,4655,2690
1,50000,1,2,1,51,0,0,3347,3899,1000,1066
0,60000,1,3,1,55,3,2,60521,61450,2504,7
0,30000,2,1,2,23,1,-2,4000,5645,5645,3508
0,240000,1,1,2,41,1,-1,95,2622,2622,3301
0,420000,1,2,1,34,0,0,253454,247743,9744,9553
0,330000,1,3,1,46,0,0,227389,228719,8210,8095
0,30000,2,2,2,22,0,0,28452,26145,2000,1400
0,240000,1,2,1,34,0,0,10674,12035,1500,1800
0,150000,1,1,2,27,0,0,17444,19342,2500,3000
0,210000,2,2,1,33,0,0,7166,7997,1500,1500
1,50000,2,3,1,51,-1,-1,752,300,300,5880
0,50000,1,1,2,24,0,0,50801,50143,2360,1700
1,240000,1,1,2,47,1,-2,0,0,0,0
0,180000,1,2,2,28,-1,-1,1832,0,0,416
0,50000,1,2,2,23,1,2,10131,10833,1000,10000
0,170000,1,2,2,29,-2,-2,12159,10000,10000,10000
0,20000,1,1,2,29,-1,-1,1199,15586,15586,344
0,50000,1,1,2,28,0,0,4999,5913,1000,1500
1,170000,2,2,2,27,0,0,19269,20313,1661,1200
0,200000,1,1,2,34,1,2,197236,176192,8000,5000
0,80000,2,2,1,23,1,2,9168,10522,1650,0
0,260000,2,1,1,60,1,-2,-1100,-1100,0,22500
0,140000,1,2,1,32,0,0,86627,78142,3455,3110
0,80000,1,1,2,25,0,0,42444,55744,30000,3000
0,350000,1,1,2,41,1,-1,208,2906,2906,1000
0,280000,2,2,1,56,0,0,208775,182350,8042,6700
0,30000,2,3,2,26,0,0,9014,10406,1700,1500
0,140000,1,1,1,34,0,0,23944,28049,5000,5000
0,200000,2,1,2,37,0,0,105420,102870,4000,3250
0,200000,2,3,2,30,0,0,196031,196143,7300,7108
1,210000,1,3,1,45,2,3,115785,122904,10478,10478
0,50000,1,3,1,57,3,2,12854,12362,0,1600
0,30000,1,1,2,41,2,2,24357,27453,3500,0
0,50000,1,2,2,27,2,-1,390,390,390,780
0,290000,1,3,1,47,-1,-1,1234,396,396,396
0,250000,2,1,1,34,0,0,141223,156858,17994,0
0,60000,2,2,1,46,0,0,21148,23803,3000,1500
0,110000,2,1,2,27,0,0,101640,104795,5500,3900
0,370000,1,1,2,50,-2,-2,6093,15130,15383,8204
0,100000,1,2,1,27,-1,2,102349,96847,3166,0
0,90000,2,2,1,35,0,0,72112,73854,3500,3500
0,50000,2,2,2,22,0,0,28040,29092,1510,1442
0,270000,1,2,2,37,0,0,37695,33397,5000,2000
0,300000,2,1,2,30,-1,-1,688,3280,3288,0
0,50000,2,2,2,22,-1,0,8567,15273,15000,1000
1,50000,2,1,2,24,1,-2,-709,-709,0,0
0,360000,1,1,2,29,1,-2,0,0,0,77
1,130000,1,3,1,56,1,2,64617,65978,3000,3000
0,80000,1,1,2,30,-2,-1,6187,100,504,500
0,50000,1,2,2,30,1,2,48860,47801,0,1500
0,20000,2,2,2,22,0,0,16001,12622,1212,1201
0,80000,2,2,1,29,0,0,77883,81811,5800,1000
0,240000,1,1,2,37,-1,-1,12212,26578,15000,0
0,80000,2,3,2,35,0,-1,49608,12412,12500,6500
0,500000,2,1,1,47,0,0,56422,110616,70010,30357
1,60000,2,2,1,24,0,0,58024,57891,2500,1600
0,20000,1,2,2,25,0,0,10642,11677,1200,1593
1,100000,2,2,1,38,1,2,14483,13961,0,1600
0,360000,2,1,2,32,1,-1,2616,57077,57087,5295
1,200000,2,3,2,47,2,2,199436,202947,8214,7000
0,130000,2,2,1,34,1,-1,0,5396,5396,5000
0,20000,2,2,2,31,1,5,21703,21087,0,1000
0,310000,1,1,2,32,0,0,59901,62147,10020,6031
1,60000,2,1,2,27,2,0,19625,20347,1342,1664
0,180000,2,1,2,29,-1,-1,11386,199,199,0
0,180000,2,1,2,24,-1,-1,14670,22087,37867,0
0,50000,1,2,1,36,0,0,47790,18114,2000,1000
1,50000,2,1,2,24,1,2,36166,37188,1900,1400
0,150000,2,2,1,34,-2,-2,0,0,0,0
0,20000,2,1,2,22,0,0,18553,19446,1500,1032
0,500000,2,1,1,34,-2,-2,412,138,138,2299
1,30000,2,3,2,22,1,2,29010,29256,1000,85
0,180000,2,1,1,38,-2,-2,750,0,0,0
0,140000,1,1,2,31,0,0,27123,27299,25000,0
0,140000,2,1,2,26,-1,0,13424,18000,10000,13001
0,120000,1,2,2,26,0,0,107314,110578,5000,5000
0,360000,2,2,1,48,0,0,226430,231878,9100,7300
0,20000,1,3,1,43,-1,-1,227,20351,22359,1305
0,100000,1,1,1,47,-1,-1,390,1473,1473,390
1,210000,2,2,1,41,-1,-1,3088,1586,1586,343
1,80000,2,2,2,24,0,0,81625,81554,3200,3000
0,330000,2,1,1,50,-1,-1,8872,4337,4345,2854
0,220000,1,1,2,24,0,0,105607,108917,5000,5050
1,210000,2,1,1,38,1,-2,0,0,0,250
0,40000,2,3,1,43,0,0,38257,38901,1700,1504
0,30000,1,2,2,39,0,0,28347,28108,3036,2309
0,470000,1,2,2,27,2,2,296573,303320,13000,11001
0,30000,1,3,1,42,-1,-1,390,390,390,390
1,240000,2,2,1,36,1,-2,-946,-946,0,0
0,80000,1,2,2,36,2,0,79278,78501,3100,3500
0,110000,2,3,0,31,0,0,89989,84229,4000,5000
0,310000,2,1,2,38,-1,-1,1424,4542,4542,126
1,360000,2,1,1,40,2,2,105167,115468,12000,0
0,330000,2,3,2,45,0,0,335196,334954,12388,12378
0,300000,2,2,2,35,0,0,291619,297268,12019,9006
0,320000,2,2,2,33,0,0,91653,94037,10042,18832
1,50000,2,3,2,37,1,3,52626,51537,0,24
0,170000,2,1,2,28,0,0,130370,131199,6530,4860
0,350000,1,3,1,44,-1,-1,3265,2686,2686,1864
0,20000,1,2,1,37,0,0,16455,16511,1609,3000
1,50000,1,2,2,23,2,0,49758,48456,2401,2254
0,20000,2,3,2,24,1,2,19154,18165,0,1333
0,50000,2,1,2,24,0,0,35084,35796,2090,2002
1,20000,1,2,2,23,1,2,20235,17132,0,1200
0,50000,1,2,1,26,0,0,102800,0,0,0
1,190000,1,2,2,34,2,0,129801,131383,5000,5000
0,60000,2,2,1,33,0,0,58203,36367,1506,1298
0,80000,1,1,2,35,-1,-1,7988,3977,3983,6853
0,150000,2,2,2,27,0,0,127402,110050,4500,1745
0,210000,2,1,2,31,-2,-2,1440,0,0,7422
1,240000,2,3,1,50,0,0,234205,231669,10116,9150
1,140000,2,2,3,41,0,0,19346,21708,3000,2000
0,60000,2,1,2,28,1,2,21501,20650,0,0
0,50000,1,1,2,39,0,0,47174,47974,1800,2000
0,50000,2,2,2,27,0,0,26655,27724,1800,1750
0,180000,2,1,2,32,-1,-1,3139,5853,2821,0
0,30000,2,1,2,40,-1,-1,142,215,355,120
0,20000,2,2,2,40,0,0,19816,20396,1601,2203
0,250000,2,2,1,75,0,-1,52874,1631,1631,1536
0,100000,2,2,2,27,0,0,37767,34457,1788,1799
0,330000,1,1,2,25,0,0,46140,45781,2504,4007
0,50000,1,3,1,46,0,0,35713,15392,1561,1268
0,50000,2,2,2,26,1,2,50867,51486,1710,136
0,30000,1,2,2,28,0,0,29242,29507,5006,1244
1,140000,2,2,2,26,0,0,101551,105246,5366,5087
0,160000,2,1,2,28,0,0,70243,47779,7042,2000
0,400000,2,2,2,29,-1,0,19532,3719,3127,1469
0,50000,1,2,1,25,0,0,27699,28513,1565,1393
0,140000,2,2,1,48,0,-1,1154,1233,1233,1075
0,160000,2,2,1,33,-1,-1,8015,2453,2453,9880
0,100000,2,3,1,43,0,0,62170,0,0,0
1,220000,1,1,1,48,2,0,210380,213522,10000,9020
0,510000,2,1,2,29,0,0,78331,99414,40010,20094
0,50000,1,2,2,29,0,0,49276,35100,1602,1400
0,160000,2,1,1,38,-1,-1,4473,4664,4664,5969
0,230000,2,1,2,37,-2,-2,2283,50815,51315,0
0,80000,2,1,2,37,-1,-1,10115,249,258,5995
0,150000,2,2,1,25,-1,-1,6156,0,0,0
0,10000,1,3,2,23,0,0,6974,7838,1134,1298
1,130000,2,3,2,49,0,0,89003,91362,4100,3095
0,40000,2,1,2,48,0,0,34871,34449,1600,1600
1,50000,1,2,2,27,3,2,13694,14880,1700,0
0,100000,1,3,2,32,0,0,70003,31545,2035,2004
0,120000,1,1,1,34,-1,2,1082,632,0,1350
1,260000,2,1,2,58,1,-2,0,0,0,0
0,200000,2,2,2,33,0,0,11253,12852,2000,1322
1,360000,2,2,2,28,-2,-2,0,0,0,0
0,70000,2,2,2,36,0,0,68699,69120,4483,12496
1,460000,1,1,1,40,2,-1,171,2715,2728,0
0,50000,2,1,2,26,-1,-1,1156,316,316,316
0,50000,1,3,1,33,0,0,50859,50462,2007,2199
0,250000,2,2,1,31,0,0,103109,102594,4000,4500
0,30000,2,1,2,27,0,0,1512,2458,1000,664
0,270000,1,2,1,44,0,0,127543,109189,10063,5162
0,180000,2,3,2,30,0,0,163935,153152,7722,6091
0,100000,2,1,2,28,0,0,53494,52656,4173,3000
0,230000,2,3,1,32,0,0,195126,88743,5000,5000
0,210000,2,1,1,46,-1,-1,110346,41986,41986,21874
0,210000,1,1,2,38,2,0,60502,62804,3276,2026
0,440000,2,2,1,46,0,0,180641,181557,8610,6907
1,100000,2,2,2,25,2,0,70896,71678,3472,2092
0,240000,2,2,1,46,0,0,8751,9900,1295,1000
1,280000,1,1,2,33,-1,-1,898,898,898,325
1,50000,2,2,2,22,1,-2,0,0,0,0
0,30000,1,2,1,43,3,2,1700,2610,1100,0
1,10000,1,2,2,27,0,0,7015,10227,3507,0
0,130000,1,1,2,29,1,-2,0,0,0,0
0,200000,1,1,2,31,0,0,194353,197344,9000,7465
0,120000,2,2,1,29,-1,-1,1686,657,657,2319
0,210000,2,2,1,36,0,0,143225,142996,6483,5082
0,280000,2,1,1,36,0,0,58983,60788,2755,3463
1,300000,1,1,2,34,1,-2,0,0,0,13001
0,100000,1,2,2,37,0,0,99209,98222,3490,2332
0,440000,2,1,2,36,-2,-2,0,0,0,0
0,50000,2,3,1,40,0,0,49941,51213,2400,1206
1,20000,2,1,2,25,0,0,11968,14564,2800,0
0,200000,2,1,2,27,-1,-1,871,665,665,960
0,110000,2,2,2,26,-2,-2,432,3220,3220,5904
0,500000,2,2,1,36,-1,-1,10483,23956,23962,0
0,300000,2,2,1,27,1,-1,0,5215,5215,0
1,30000,1,3,1,55,2,2,9720,10613,1200,1200
0,60000,2,1,2,27,-1,-1,20847,13801,13809,14583
0,400000,2,2,1,38,-1,0,3697,3600,1000,1354
0,180000,2,2,1,34,0,0,143301,146333,7000,5000
0,20000,1,1,2,40,0,0,10934,13738,3000,3100
1,200000,2,3,1,49,-1,2,52439,51040,0,6000
0,100000,1,1,2,27,0,0,55734,52557,1631,1286
1,60000,1,2,2,23,0,0,49507,33282,1970,2000
0,110000,2,2,2,36,0,0,47819,48947,2200,2500
0,260000,2,3,1,53,1,-1,0,165,165,526
0,50000,2,3,1,46,3,2,48522,50955,3754,1
0,180000,1,2,2,29,1,-2,-2,-2,0,0
1,110000,1,2,2,29,1,2,58362,56598,2500,0
0,340000,2,1,2,27,0,0,172180,180140,21105,5461
0,50000,1,2,2,24,-1,0,1399,2441,1070,1500
1,230000,2,2,1,28,0,0,26361,18826,1710,1100
0,360000,2,2,2,32,0,0,93029,94054,10000,7000
0,210000,1,2,2,43,1,-2,0,0,0,38013
1,220000,2,2,1,41,-1,2,650,650,325,0
1,60000,2,2,1,34,2,2,24898,27976,3800,0
0,340000,1,2,1,55,-2,-1,50396,44665,44665,8321
0,150000,1,1,1,40,2,2,99855,102586,5200,0
1,200000,2,2,1,37,1,-1,-179,505,1000,0
1,130000,2,2,2,40,0,0,9559,12394,3000,0
0,60000,2,1,2,28,1,2,10540,10232,0,1483
0,400000,2,2,1,43,1,-2,0,0,0,0
0,20000,1,1,2,27,0,0,20571,19089,1323,1600
0,190000,2,1,2,28,0,0,143464,146943,5795,7408
0,260000,2,1,2,30,0,0,156882,160246,10000,8000
0,140000,2,2,2,31,-2,-2,390,0,0,0
1,50000,2,2,1,31,0,0,46512,47716,1974,4406
0,120000,2,1,2,34,-1,-1,882,6531,6900,5037
0,240000,2,2,2,30,-2,-2,92,92,92,92
0,50000,1,2,2,36,0,0,5916,6172,1212,1200
0,200000,2,1,2,29,-1,2,2393,183,0,4872
0,180000,1,1,1,39,0,0,274731,281713,11000,145000
0,180000,2,1,2,26,0,0,145403,138232,5440,5051
0,160000,2,1,2,29,-1,-1,3097,-707,0,0
0,100000,2,2,2,26,-1,-1,1370,4192,4210,4159
1,50000,2,2,2,29,0,0,47081,49316,3000,2000
0,140000,2,2,2,31,0,0,138119,137950,6600,6500
1,30000,2,2,2,26,0,0,17893,19012,1411,1522
0,90000,1,1,2,26,0,0,39128,20473,1541,4200
0,200000,1,1,1,36,1,-2,-14386,-13543,10118,47015
1,380000,1,1,2,30,1,-2,0,0,0,0
0,80000,2,2,2,43,0,0,77057,78102,3177,2600
0,50000,1,3,1,58,2,2,15899,18720,3400,0
1,180000,1,2,1,45,-1,0,27679,28422,1481,2000
0,240000,2,2,2,26,0,0,141315,128940,6349,5834
0,380000,1,2,2,34,0,0,194314,179206,9010,35000
0,110000,2,4,2,24,0,0,83755,77431,3000,2900
0,260000,1,1,1,34,-1,-1,49657,291,291,51058
1,500000,2,2,2,23,4,3,507726,509229,10000,0
0,320000,2,2,2,30,0,0,71305,71151,2589,2568
0,50000,1,2,2,32,4,3,45734,44741,0,0
1,110000,1,1,1,40,1,-2,0,0,0,2066
0,230000,2,1,2,35,-2,-2,761,300,300,399
0,330000,2,2,1,56,1,-1,-9,1520,1529,1507
0,50000,2,2,1,61,0,0,47166,49396,3000,2237
0,10000,1,2,2,24,-1,2,2887,1923,0,1500
0,300000,1,1,1,40,1,-2,0,0,0,0
1,20000,2,2,1,32,3,2,20631,20010,0,1168
1,180000,1,2,1,36,2,2,83538,0,0,0
0,160000,1,1,2,30,-1,-1,99,2977,2977,15086
0,90000,2,1,2,34,0,0,34302,35089,1640,9000
0,30000,1,3,3,54,0,0,22987,22298,2500,2000
0,180000,1,1,1,46,0,0,173267,174590,8100,5299
0,30000,1,3,1,58,0,0,19143,20168,1640,1700
0,30000,1,2,1,43,1,2,20518,19901,0,1342
0,140000,2,1,2,28,-1,0,10833,14446,14000,3855
0,210000,1,1,2,30,0,0,69937,71906,3500,3000
1,50000,1,2,2,31,0,0,20526,15129,2000,3000
0,130000,2,2,2,29,0,0,89055,90780,4200,2575
1,50000,2,2,1,37,2,2,1894,3200,1500,400
0,140000,1,3,1,36,0,0,100594,78372,3000,30000
1,170000,2,2,2,28,-1,0,2948,3848,1105,1903
0,80000,1,2,2,25,0,0,22619,31429,10010,1209
0,410000,2,5,1,42,0,0,338106,342904,15000,14000
0,80000,2,1,2,29,1,-1,0,80000,80000,0
1,80000,1,3,1,73,-1,0,63144,65631,3500,4330
0,150000,1,2,1,43,0,0,153249,154049,7900,6500
1,260000,1,1,1,30,-1,-1,1131,291,291,582
0,350000,1,1,1,38,1,-2,0,0,0,0
1,280000,2,2,1,39,1,-1,-1312,35918,38621,2000
0,310000,1,2,1,44,0,0,103797,91989,4400,4013
0,140000,2,2,2,29,0,0,20110,17102,3000,3000
0,360000,1,1,1,51,-1,-1,38000,25000,25000,0
0,140000,2,1,2,27,0,0,142428,144105,10000,10000
0,100000,1,1,2,38,0,0,40810,42653,2502,1200
0,50000,2,2,2,22,-2,-2,0,0,0,0
0,210000,2,2,1,30,0,0,104701,106134,4002,5000
0,120000,2,2,2,25,2,2,120298,120822,4007,0
0,240000,1,1,2,29,0,0,156362,132280,5233,3289
0,60000,2,3,3,42,0,0,41322,29091,1488,1394
1,150000,1,1,2,41,-1,-1,1464,2084,2091,384
0,30000,1,2,1,48,0,0,27879,28870,1774,1710
1,160000,2,1,2,29,2,2,160432,163916,7500,0
0,200000,1,1,1,52,-2,-2,3858,2690,2690,3487
0,120000,2,2,1,25,0,0,26476,21393,6000,0
0,500000,1,1,1,37,1,2,507062,491956,325,15296
0,320000,2,1,2,27,0,0,55607,62893,11404,8232
0,280000,1,1,2,31,0,0,168382,175646,10000,8000
1,60000,2,1,2,23,1,2,29332,28577,0,2709
0,200000,2,1,1,38,-1,-1,190,0,0,0
0,230000,2,1,1,32,1,-2,0,0,0,2809
1,230000,2,2,2,27,1,2,13668,12647,0,1064
0,480000,2,3,1,41,-2,-2,14867,26665,26734,199982
0,50000,2,3,1,35,-1,-1,22500,5000,5000,0
0,200000,2,1,2,31,-2,-2,7184,14845,17507,1102
0,50000,2,1,2,30,0,0,14811,16262,2000,1600
0,50000,1,2,1,48,0,0,44338,43048,3629,3332
1,260000,2,1,2,36,1,-2,0,0,0,0
0,30000,1,1,2,24,2,0,25265,26354,1500,1800
0,440000,2,1,2,29,0,0,169661,167199,8071,9021
0,230000,2,2,2,38,-1,-1,10237,2795,2795,1350
1,200000,1,2,1,38,2,2,104978,105924,4500,0
0,490000,2,2,1,30,0,0,192586,197967,10000,7143
0,80000,2,2,1,32,-1,-1,11262,0,0,0
1,20000,2,3,2,49,2,2,9551,12081,3000,1500
1,170000,2,1,2,31,-1,-1,199,199,199,199
0,70000,1,1,2,27,0,0,70119,68536,3600,1646
0,210000,2,2,2,33,0,0,212601,177946,6000,4500
0,90000,2,2,2,25,0,0,91894,71732,3200,3300
1,390000,2,1,2,27,0,0,304867,299998,13007,10612
0,110000,2,1,2,29,0,0,48123,49537,2500,2500
0,580000,2,1,1,36,0,0,159760,162189,6422,6565
0,360000,1,3,1,55,0,0,9210,8485,6015,17454
1,270000,2,2,1,32,1,2,234752,233036,10000,8000
0,60000,2,1,2,27,-1,-1,14072,0,0,0
0,110000,1,3,1,37,0,0,61807,62499,2300,2200
0,50000,2,1,1,25,0,0,51044,50231,2500,3008
1,80000,2,1,2,23,0,0,77024,73281,3212,1600
0,50000,1,2,2,23,-1,-1,350,350,350,400
0,100000,1,1,2,32,0,0,83831,85586,4000,4037
0,30000,2,1,2,26,1,-2,0,0,0,945
0,200000,2,1,2,27,0,0,122923,124653,5704,5930
1,240000,1,1,2,44,0,0,246135,231443,12026,9010
0,220000,1,2,2,34,0,0,37304,33304,1600,1500
0,160000,2,1,2,28,0,0,146433,107604,4500,4400
0,180000,2,1,1,53,-1,-1,46122,1260,1260,29366
0,200000,1,4,1,42,0,0,38564,38246,5000,1485
0,140000,2,3,1,30,0,0,96304,98007,4505,12906
1,380000,1,1,1,51,1,-2,0,0,0,0
1,600000,1,1,1,53,2,2,467150,458862,0,18000
0,260000,1,2,2,37,0,0,255691,262736,14000,5022
0,200000,2,1,2,26,0,0,156786,179,179,1443
0,80000,1,2,2,42,0,0,78129,28202,2500,51432
0,40000,1,2,2,39,0,0,40034,36549,2027,1207
0,130000,1,3,2,39,1,2,71034,69329,0,6000
0,50000,1,1,2,32,-1,0,23974,24131,1800,1900
0,230000,2,2,1,41,-1,-1,819,18163,18163,5654
1,70000,1,2,1,48,0,0,50927,39883,2100,1217
0,180000,2,2,1,38,0,0,152510,151651,5657,10372
0,80000,2,2,1,36,-1,-1,1689,8638,8638,5723
0,290000,2,2,2,26,0,0,20807,99860,80000,3000
0,230000,2,1,2,28,0,0,30141,131255,120093,8034
0,170000,2,3,3,56,1,-2,0,0,0,1991
1,230000,1,1,1,59,-1,0,208459,206331,7536,7277
1,220000,1,1,2,38,0,0,212795,211043,8909,7500
0,230000,1,2,2,32,0,0,28114,28006,1610,1224
0,500000,1,2,1,38,0,0,59372,49677,10026,7241
0,90000,2,1,1,41,-1,-1,6160,3274,3276,6246
1,390000,2,3,2,35,0,0,355215,363325,13802,16525
0,400000,2,2,2,41,0,0,366193,372700,14020,13595
0,180000,1,2,1,34,-1,-1,2927,2790,2790,1140
0,60000,1,3,1,38,1,2,29295,30321,1800,1500
0,120000,2,2,1,32,-1,-1,4158,2682,2682,0
0,60000,2,2,2,29,0,0,27199,28358,1900,1400
0,50000,1,1,2,44,0,0,50893,28527,1800,1500
0,70000,2,2,1,37,0,0,66759,68200,2518,5950
0,500000,2,1,1,38,-1,2,600,300,0,501
0,200000,1,1,2,31,-2,-2,0,0,0,0
0,250000,2,2,1,40,0,0,44930,137101,120041,4435
